inStock,categories/0/name,id,name,price,shortDescription,url,images/0/src,images/1/src,images/2/src,images/3/src,images/4/src,(empty)
,,60159,Tecno Camon 50 4G 8GB 256GB,34299,"Display: 6.78&#8221;
Back Camera: 50MP+8MP
Front Camera: 32MP
Processor: Mediatek Helio G200 Ultimate (6 nm)
Warranty: 1-year
Color(s): Moonlight black, Malachite green, Nebula titanium, Fir green, Lavender mist, Mint cream
Battery: 6150mAh",https://avechi.co.ke/product/tecno-camon-50-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2026/02/Tecno-Camon-50-d.jpg,https://avechi.co.ke/wp-content/uploads/2026/02/Tecno-Camon-50-b.jpg,https://avechi.co.ke/wp-content/uploads/2026/02/Tecno-Camon-50-a.jpg,(empty),(empty),
,,60181,Tecno Camon 50 Pro 4G 8GB 256GB,38199,"Display: 6.78&#8221;
Back Camera: 50MP+8MP
Front Camera: 32MP
Processor: Mediatek Helio G200 Ultimate (6 nm)
Warranty: 1-year
Color(s): Moonlight black, Malachite green, Nebula titanium, Fir green, Lavender mist, Ethereal blue
Battery: 6150mAh",https://avechi.co.ke/product/tecno-camon-50-pro-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2026/02/Tecno-Camon-50-Pro-1.jpg,https://avechi.co.ke/wp-content/uploads/2026/02/Tecno-Camon-50-Pro-c-1.jpg,https://avechi.co.ke/wp-content/uploads/2026/02/Tecno-Camon-50-Pro-e-1.jpg,(empty),(empty),
,2GB,8911,Vivo Y01 2gb 32gb,12599,"6.51&#8243; inch display, 2gb RAM, 32gb ROM, 8MP back camera
5MP selfie, Android 11, 5000mAh",https://avechi.co.ke/product/vivo-y01-2gb-32gb-price-in-kenya-avechi/,https://avechi.co.ke/wp-content/uploads/2022/02/Vivo-Y01.jpg,(empty),(empty),(empty),(empty),
,,13743,Ulefone Note 6p 2GB 32GB,9699,"6.1&#8221; 2GB RAM 32GB ROM
3G,8mp back camera,3300mah",https://avechi.co.ke/product/ulefone-note-6p-2gb-32gb/,https://avechi.co.ke/wp-content/uploads/2022/05/Ulefone-Note-61-1.jpg,(empty),(empty),(empty),(empty),
,,18019,Itel A58 Pro 2gb 32gb,8999,"6.5&#8221;, 2gb RAM, 32gb ROM, 5MP dual back camera
5MP selfie, Android 11, 4000mAh",https://avechi.co.ke/product/itel-a58-pro/,https://avechi.co.ke/wp-content/uploads/2022/09/iTel-A58-full-specifications-600x6001-1-1024x1024-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/09/Itel-A58-Pro-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/09/Itel-A58-Pro-b-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/09/iTel-A58-Lite-2-1.jpg,(empty),
,,23980,Itel A60 4G 2GB 32GB,9299,"6.6&#8243; inch, 2GB RAM, 32GB ROM, 8MP back camera
5MP selfie, Android 12, 5000mAh",https://avechi.co.ke/product/itel-a60-2gb-32gb/,https://avechi.co.ke/wp-content/uploads/2023/03/gsmarena_003.jpg,https://avechi.co.ke/wp-content/uploads/2023/03/iTel-A60-Price.jpg,https://avechi.co.ke/wp-content/uploads/2023/03/gsmarena_002.jpg,https://avechi.co.ke/wp-content/uploads/2023/03/gsmarena_003-1.jpg,(empty),
,,25744,Itel A04 3G 2GB 32GB,8199,"6.3&#8243; inch, 2GB RAM, 32GB ROM, 5MP back camera
Android 12, 4000mAh",https://avechi.co.ke/product/itel-a04-2gb-32gb/,https://avechi.co.ke/wp-content/uploads/2023/04/3564595093.jpg,https://avechi.co.ke/wp-content/uploads/2023/04/3564595093-1.jpg,https://avechi.co.ke/wp-content/uploads/2023/04/3564595093-2.jpg,(empty),(empty),
,,32629,Itel A18s 2GB 32GB,5499,"Display : 5.0&#8221;
Back camera : 5MP
Front Camera: 2MP
Processor :Octa core
Warranty :1-year
Color:blue black
Battery:3020mAh",https://avechi.co.ke/product/itel-a18s-2gb-32gb/,https://avechi.co.ke/wp-content/uploads/2023/11/Itel-A18s-2GB2GB-RAM-32GB-3.jpg,https://avechi.co.ke/wp-content/uploads/2023/11/Itel-A18s-2GB2GB-RAM-32GB-1.jpg,https://avechi.co.ke/wp-content/uploads/2023/11/Itel-A18s-2GB2GB-RAM-32GB-2.jpg,https://avechi.co.ke/wp-content/uploads/2023/11/Itel-A18s-2GB2GB-RAM-32GB-3.jpg,(empty),
,,38735,Villaon V20 2GB 32GB,5099,"Display : 6.3&#8221;
Back camera : 5mp
Front Camera: 8mp
Processor :Octa core
Warranty :1-year
Color:blue black
Battery:3000mAh",https://avechi.co.ke/product/villaon-v20-2gb-32gb/,https://avechi.co.ke/wp-content/uploads/2024/05/80c1d5802764240b42616296b9e080bef134d0bc.jpg,https://avechi.co.ke/wp-content/uploads/2024/05/6bFwR8a7BJeDHzLzghux4uH8zHtZg8Wlw0jmfTe7.jpg,(empty),(empty),(empty),
,,38739,Villaon V30 2GB 128GB,7999,"Display : 6.3&#8221;
Back camera : 5mp
Front Camera: 8mp
Processor :Octa core
Warranty :1-year
Color:White
Battery:4000mAh",https://avechi.co.ke/product/villaon-v30-4gb-128gb/,https://avechi.co.ke/wp-content/uploads/2024/05/V301.jpg,(empty),(empty),(empty),(empty),
